tagId,tag
70,apocalypse
1114,witty
594,lame
973,stranded
104,ballet
813,prison
294,demons
913,shallow
376,family drama
877,satire
935,soccer
1066,utopia
75,art
1025,thriller
219,claymation
978,stupid
656,mistaken identity
266,creativity
536,imdb top 250
435,ghosts
111,based on a tv show
896,secret service
41,alcatraz
277,culture clash
488,handycam
340,east germany
760,oscar (best writing - screenplay written directly for the screen)
434,germany
569,isolation
186,cartoon
287,dark fantasy
419,future
868,russia
59,android(s)/cyborg(s)
726,nudity (full frontal - brief)
945,space travel
62,animals
240,complex
843,rebellion
817,prohibition
847,religion
601,life & death
388,feel-good
810,prequel
1017,teens
1079,vietnam
930,slow paced
508,historical
308,disaster
194,character study
135,biopic
34,africa
700,neo-noir
1059,unique
680,mummy
58,amy smart
427,geek
783,pigs
359,epic
553,intense
46,allegory
786,pixar animation
953,spiders
1001,swashbuckler
556,interracial romance
69,anti-war
319,downbeat
292,death
47,almodovar
640,melancholic
278,cute
1046,trilogy
298,desert
225,coen brothers
530,hunting
528,humor
881,saturn award (best special effects)
281,cyborgs
365,excellent script
664,monsters
779,philosophical
367,exciting
824,psychology
1,007
968,stoner movie
482,guns
871,sad
957,spock
905,sex
324,dramatic
67,anti-hero
686,musical
32,afi 100 (laughs)
356,entirely dialogue
529,humorous
722,nuclear
689,mystery
295,depp & burton
943,space opera
246,computers
416,funniest movies
162,breathtaking
412,friendship
764,palestine
651,military
684,music
1055,understated
1014,teen movie
248,con men
1040,transformation
1037,tragedy
93,awesome
382,fast paced
115,based on true story
673,mountain climbing
255,cool
430,genius
179,cancer
974,strange
390,fighting
133,biographical
920,silly fun
1064,unusual plot structure
290,dc comics
247,con artists
90,author:neil gaiman
193,cgi
578,jazz
437,giant robots
579,jesus
614,love story
147,boarding school
119,beatles
1084,violence
660,modern fantasy
589,kids and family
676,moving
573,james bond
27,adoption
15,aardman
894,screwball comedy
83,assassins
630,mars
926,slapstick
933,so bad it's funny
274,cult
818,propaganda
467,great dialogue
955,spies
448,good dialogue
372,fairy tales
984,suburbia
940,south america
450,good romantic comedies
1116,women
524,hospital
215,classic
345,effects
148,boat
413,frightening
1005,sword fight
1060,united nations
174,c.s. lewis
706,new zealand
606,literature
306,disability
544,indie
1076,video games
620,mad scientist
1119,world politics
286,dark comedy
222,cloning
624,magic realism
23,adapted from:comic
780,philosophy
117,batman
790,poetry
362,ethnic conflict
96,bad
837,rags to riches
262,courtroom
805,poverty
699,neo-nazis
180,cannibalism
103,bad sequel
575,japan
564,irish accent
185,cars
468,great ending
988,super-hero
825,pulp
72,argentina
892,scotland
681,muppets
347,emma watson
1081,view askew
1027,time loop
30,affectionate
852,ridiculous
40,alaska
505,hilarious
158,bowling
976,studio ghibli
395,firefly
53,alternate universe
1128,zombies
360,erotic
637,maze
403,foul language
422,gangs
449,good music
285,dark
593,kurosawa
228,colonialism
354,ensemble cast
10,19th century
857,robbery
31,afi 100
997,surveillance
814,prison escape
659,mockumentary
335,dysfunctional family
990,superheroes
8,1970s
518,homosexuality
198,cheesy
998,survival
393,film noir
917,short-term memory loss
996,surrealism
799,political corruption
711,noir
511,hitchcock
123,beauty pageant
379,farce
39,airport
687,musicians
654,minnesota
163,brilliant
68,anti-semitism
125,berlin
552,intelligent sci-fi
5,1930s
971,story
858,robert downey jr
876,sarcasm
954,spielberg
960,spy
428,geeks
609,lone hero
771,passionate
1009,tarantino
1071,very funny
507,hip hop
357,environment
400,football
795,police
353,enormously long battle scene
1043,treasure
834,racing
803,post-apocalyptic
668,moral ambiguity
261,court
334,dynamic cgi action
154,books
397,fish
502,high fantasy
374,family
591,kubrick
313,divorce
599,lesbian
43,alien
646,mentor
959,sports
523,horses
821,psychiatrist
898,segregation
141,black comedy
942,space
861,robots
770,parody
841,realistic action
1010,teacher
826,punk
745,oscar
446,good acting
670,mother daughter relationship
273,cuba
1067,vampire
520,hong kong
378,fantasy world
499,heroin
615,love triangles
1089,visceral
1030,tolkien
888,science
677,mozart
794,poland
98,bad cgi
887,sci-fi
129,better than expected
995,surreal
623,magic
545,infidelity
380,fascism
859,robert ludlum
204,children
344,eerie
922,single father
655,mission from god
1023,texas
519,honest
985,suicide
489,hannibal lecter
238,compassionate
550,intellectual
401,forceful
571,italian
233,comic book adaption
683,murder mystery
443,golden palm
1065,us history
719,not funny
99,bad ending
515,holocaust
1117,working class
512,hitman
772,penguins
218,claustrophobic
361,espionage
559,iran
936,social commentary
1104,weird
226,cold war
19,action
169,brutality
921,simple
293,death penalty
766,paranoia
398,flashbacks
1072,very good
970,stop-motion
541,india
329,drug abuse
979,stupid as hell
1087,virtual reality
792,pointless
94,awesome soundtrack
214,civil war
338,earnest
426,gay character
1016,teenagers
619,macabre
116,basketball
159,boxing
1121,world war ii
113,based on book
37,aids
106,baseball
363,evolution
717,nostalgic
757,oscar (best sound)
734,ocean
759,oscar (best supporting actress)
366,exceptional acting
442,god
982,stylized
566,irreverent
352,ennio morricone
491,hard to watch
250,confusing
477,gruesome
635,math
1006,sword fighting
407,francis ford copolla
1053,underdog
165,british comedy
782,photography
455,goofy
1026,time
1036,toys
1075,video game adaptation
84,astronauts
880,saturn award (best science fiction film)
296,depressing
653,mining
71,archaeology
644,mental hospital
611,long
838,rape
65,anime
1094,voodoo
819,prostitution
914,shark
128,betrayal
339,easily confused with other movie(s) (title)
2,007 (series)
828,queer
540,independent film
602,life philosophy
309,disney
586,kick-butt women
1011,tear jerker
411,french
172,bullying
418,funny as hell
900,sentimental
964,star trek
867,runaway
604,lions
886,sci fi
461,graphic design
44,alien invasion
638,medieval
424,gangsters
728,nudity (full frontal)
316,dog
377,fantasy
525,hostage
333,dumb but funny
439,girlie movie
938,sophia coppola
151,bond
38,airplane
557,intimate
751,oscar (best editing)
1029,tokyo
1022,terrorism
725,nudity
1004,switching places
410,freedom
144,blindness
883,scenic
527,humanity
1118,workplace
584,jungle
567,islam
209,christianity
441,global warming
132,big budget
381,fashion
175,california
534,imaginary friend
704,new york
271,cross dressing
408,free speech
1070,vengeance
124,beer
139,bizarre
52,alternate reality
733,obsession
625,male nudity
778,philip k. dick
276,cult film
785,pixar
504,highly quotable
343,educational
257,corporate america
183,car chase
618,lyrical
301,devil
691,narrated
967,stereotypes
241,complex characters
231,comic
666,moody
327,dreamworks
1012,technology
459,goth
682,murder
807,predictable
663,monster
963,stand-up comedy
466,great cinematography
164,british
168,brutal
146,bloody
207,chris tucker
501,heroine in tight suit
189,cathartic
947,spain
325,dreamlike
658,mob
939,south africa
739,ominous
1099,waste of time
1038,train
715,nonlinear
811,president
1049,twist
88,australian
882,scary
576,japanese
80,artsy
1054,underrated
1024,thought-provoking
688,mutants
167,brothers
1048,truman capote
230,comedy
724,nuclear war
1091,visually appealing
983,submarine
916,short
801,pornography
741,organized crime
101,bad science
291,deadpan
756,oscar (best picture)
445,good
879,saturday night live
1126,wwii
54,amazing cinematography
740,opera
392,figure skating
87,australia
1127,zombie
667,moon
252,conspiracy theory
788,plot holes
500,heroine
1018,teleportation
476,gross-out
671,mother-son relationship
272,crude humor
45,aliens
789,plot twist
114,based on comic
25,addiction
212,cinematography
621,made for tv
833,race issues
170,buddy movie
592,kung fu
1110,wine
597,lawyer
521,horrible
33,afi 100 (movie quotes)
612,los angeles
110,based on a true story
137,biting
331,drugs
223,clowns
29,adventure
288,dark hero
723,nuclear bomb
56,american civil war
1112,witch
254,cooking
289,dark humor
823,psychological
49,alter ego
1077,videogame
1115,wizards
643,memory loss
546,innocence lost
478,guilt
950,special
548,inspirational
844,redemption
64,animation
414,fun
385,father-son relationship
303,dialogue driven
975,strippers
323,drama
885,school
452,good soundtrack
989,superhero
235,coming of age
925,slackers
657,miyazaki
856,roald dahl
558,investigation
463,gratuitous violence
425,gay
1069,vampires
304,dinosaurs
370,factual
690,mythology
220,clever
1063,unrealistic
297,depression
22,adapted from:book
761,oscar winner
