movieId,title_cast,director,runtime,budget,plot_keywords
64030,Jason Statham|Natalya Rudakova|François Berléand|Robert Knepper|Jeroen Krabbé|Alex Kobold|David Atrakchi|Yann Sundberg|Eriq Ebouaney|David Kammenos|Silvio Simac|Oscar Relier|Timo Dierkes|Igor Koumpan|Paul Barrett,Luc Besson,104.0,"$30,000,000",jackknifed truck|car|driving|toxic waste
69803,,,,,
82366,Danielle Harris|Tony Todd|Kane Hodder|Parry Shen|Tom Holland|R.A. Mihailoff|AJ Bowen|Alexis Kendra|Ed Ackerman|David Foy|Colton Dunn|Rick McCallum|John Carl Buechler|Kathryn Fiore|Erika Hamilton,Adam Green,85.0,"$800,000",scantily clad female|no panties|female full frontal nudity|female pubic hair
68524,,,,,
6746,,,,,
104772,Levi Fiehler|Jenna Gallaher|Taylor M. Graham|Tom Sandoval|Jerry Hoffman|Erica Shaffer|Ada Chao|Mike Brooks|Aaron Riber|Xiangfu Zhang|Gu Yingfeng,Domonic Muir,83.0,,evil toy|puppet|nazi|saboteur
118692,Andy Lau|Gigi Leung|Suki Kwan|Mark Cheng|Alex Fong|Joe Tak-Chung Ma|Sam Lee|Frankie Chi-Hung Ng|Ben Ng|Michael Wai-Man Chan|Siu-Kei Lee|Tian-Lin Wang|Angie Cheung|Dennis Chan|Danise Chan,Jing Wong,112.0,,pantyhose|nude pantyhose
112976,Tony Rock|Julie Alexander|Tee Ashira|Rolando Boyce|J. Anthony Brown|Nikki Brown|Jamie Burton-Oare|Peppur Chambers|Michael Colyar|Melanie Comarcho|Lavell Crawford|Terryl Daluz|Tommy Davidson|Douglas Dickerman|J. Downing,Kenny Young,101.0,,
83662,,,,,
51314,Charlotte Gainsbourg|Vincenzo Amato|Vincent Schiavelli|Aurora Quattrocchi|Francesco Casisa|Filippo Pucillo|Federica De Cola|Isabella Ragonese|Filippo Luna|Andrea Prodan|Ernesto Mahieux|Marcelo Benassi|Giuseppe Sangiorgi|Alessandra Fazzino|Giuseppe Culino,Emanuele Crialese,118.0,"EUR10,000,000",mental retardation|ellis island new york city|italy|male full frontal nudity
89629,Gilles Lellouche|Roschdy Zem|Gérard Lanvin|Elena Anaya|Mireille Perrier|Claire Pérot|Moussa Maaskri|Pierre Benoist|Valérie Dashwood|Virgile Bramly|Nicky Naudé|Adel Bencherif|Vincent Colombe|Chems Dahmani|Grégoire Bonnet,Fred Cavayé,81.0,"$16,000,000",pregnant wife|stabbed in the eye|shot in the stomach|filmed killing
6291,Oksana Akinshina|Artyom Bogucharskiy|Lyubov Agapova|Liliya Shinkaryova|Elina Benenson|Pavel Ponomaryov|Tomasz Neuman|Anastasiya Bedredinova|Tõnu Kark|Nikolai Bentsler|Aleksander Dorosjkevitch|Yevgeni Gurov|Aleksandr Sokolenko|Margo Kostelina|Veronika Kovtun,Lukas Moodysson,109.0,,sex trade|teenage prostitution|human trafficking|sexual abuse
126997,,,,,
110828,Reese Witherspoon|Colin Firth|Alessandro Nivola|James Hamrick|Seth Meriwether|Kristopher Higgins|Amy Ryan|Robert Baker|Collette Wolfe|Rex Linn|Bruce Greenwood|Kristoffer Polaha|Matt Letscher|Michael Gladis|Stephen Moyer,Paul Harris Boardman,114.0,"$15,000,000",west memphis three|year 1993|angry mob|police interrogation
25927,,,,,
100415,Senad Basic|Mustafa Nadarevic|Semka Sokolovic-Bertok|Emir Hadzihafizbegovic|Jasna Zalica|Nada Djurevska|Dragan Marinkovic|Sanja Buric|Izudin Bajrovic|Armela Toskic|Edin Hadzihafisbegovic|Muharem Malagic|Enis Beslagic|Aziz Arnautovic|Halid Beslic,Namik Kabil,94.0,,
46929,,,,,
128971,Til Schweiger|Jana Pallaske|Stipe Erceg|Luna Schweiger|Alwara Höfels|Ellenie Salvo González|Carina Wiese|Gode Benedix|Julia Brendler|Kida Khodr Ramadan|Hans-Heinrich Hardt|Richard Sammel|Stephan Bieker|Milena Arnold|Ralf Dittrich,Matthias Emcke,,,cyclist|sex scene|topless female nudity|female nudity
69219,,,,,
72258,Chuck Norris|Michele Lamar Richards|Erik von Detten|Carmine Caridi|Clyde Kusatsu|Kai Wulff|Peter Savard Moore|Timothy Bottoms|Francesco Quinn|Herta Ware|John Kerry|Hank Baumert|Linda Castro|John Sistrunk|Bob Bastanchury,Aaron Norris,86.0,"$6,000,000",tough cop|terrorist|dog|dog movie
1564,Jean Reno|Mercedes Ruehl|Polly Walker|Mark Frankel|Luigi Diberti|Roberto Della Casa|Giovanni Pallavicino|Jorge Krimer|Romano Ghini|Giuseppe Cederna|Daniele Ferretti|Renato Scarpa|Trevor Peacock|George Rossi|Paul Muller,Paul Weiland,98.0,,cemetery|train ride|tightrope|talk to the dead
3008,Don McKellar|Sandra Oh|Roberta Maxwell|Robin Gammell|Sarah Polley|Trent McMullen|Charmion King|Jessica Booker|David Cronenberg|Tracy Wright|Callum Keith Rennie|Karen Glave|Arsinée Khanjian|Chandra Michaels|Geneviève Bujold,Don McKellar,95.0,"$2,000,000",watching television|360 degree well camera shot|midnight|turn of the century
124725,,,,,
3592,,,,,
6628,,,,,
72224,Michael Angarano|John Baker|Robin Ballard|Steve Berg|Kristin Brewer|Jemaine Clement|Kristie Conway|Jennifer Coolidge|Rod Decker|Isaac Demke|Halley Feiffer|Johnny Hoops|Héctor Jiménez|Jizelle Jade|Daniel Love,Jared Hess,89.0,"$10,000,000",small town|sexual harassment|struggling parent|sexual innuendo
1043,Peter Gallagher|Michelle Pfeiffer|Claire Danes|Laurie Fortier|Wendy Crewson|Bruce Altman|Kathy Baker|Freddie Prinze Jr.|Rachel Seidman-Lockamy|Lorielle New|Danny Crook|Seth Green|Todd Haven,Michael Brady,93.0,,grief|widower|obsessive love|based on play
4108,,,,,
81031,Rosalinde Mynster|Pilou Asbæk|Jens Jørn Spottag|Sarah Boberg|Anders W. Berthelsen|Sarah Juel Werner|Jacob Ottensten|Thomas Knuth-Winterfeldt|Charlotte Fich|Hans Henrik Voetmann|Catrine Beck|Hans Henrik Clemensen|Lasse Handberg|Jytte Kvinesdal|Amalie Lindegård,Steen Bille,,,betrayal by a friend|betrayal|jehovah|divorce
81806,Stefan Sileanu|Ernest Maftei|Emanoil Petrut|Teofil Vâlcu|Alexandru Repan|Constantin Codrescu|George Constantin|Constantin Barbulescu|Ion Marinescu|Silviu Stanculescu|Vasile Cosma|Petre Simionescu|György Kovács|Mihai Paladescu|Petre Gheorghiu-Dolj,Mircea Mohor,114.0,,ottoman|ottoman empire|turk|robbery
63446,Catherine Deneuve|Jean-Paul Roussillon|Anne Consigny|Mathieu Amalric|Melvil Poupaud|Hippolyte Girardot|Emmanuelle Devos|Chiara Mastroianni|Laurent Capelluto|Emile Berling|Thomas Obled|Clément Obled|Françoise Bertin|Samir Guesmi|Azize Kabouche,Arnaud Desplechin,,,christmas|disease|family relationships|debt
112425,Jon Heder|Diane Keaton|Jeff Daniels|Anna Faris|Eli Wallach|Dorian Missick|Sarah Chalke|Mary Kay Place|Adam Devine|Simon Helberg|Rhys Coiro|Hank Doughan|Laura Kightlinger|Dennis Cockrum|Hank Nelken,Hank Nelken,94.0,"$15,000,000",dead turtle|death of pet|pet funeral|dead father
72724,Steven Seagal|Mike Dopud|Igor Jijikine|Robert Wisden|Inna Korobkina|Zak Santiago|Andrew Rasputin|Evgeniy Lazarev|Laura Mennell|Aleks Paunovic|Ingrid Torrance|Sergey Nasibov|Dmitry Chepovetsky|Yan-Kay Crystal Lowe|Daniel Cudmore,Mark James,98.0,"$8,000,000",violence|russian|daughter|thrown through glass
90809,Zoé Héran|Malonn Lévana|Jeanne Disson|Sophie Cattani|Mathieu Demy|Rayan Boubekri|Yohan Vero|Noah Vero|Cheyenne Lainé|Christel Baras|Valérie Roucher,Céline Sciamma,82.0,"EUR1,000,000",false name|trying to fit in|soccer|tomboy
71264,Bill Hader|Anna Faris|James Caan|Andy Samberg|Bruce Campbell|Mr. T|Bobb'e J. Thompson|Benjamin Bratt|Neil Patrick Harris|Al Roker|Lauren Graham|Will Forte|Max Neuwirth|Peter Siragusa|Angela Shelton,Christopher Miller,90.0,"$100,000,000",crooked mayor|corrupt mayor|flying car|inventor
1321,,,,,
4323,,,,,
127172,Mark Cousins|Ben|Laura,Mark Cousins,106.0,,archive footage|childhood|philosophical conversation|father son relationship
2037,,,,,
97703,Marcin Kowalczyk|Dawid Ogrodnik|Tomasz Schuchardt|Arkadiusz Jakubik|Marcin Dorocinski|Przemyslaw Bluszcz|Halina Bednarz|Magdalena Kacprzak|Elzbieta Karkoszka|Miroslaw Neinert|Piotr Nowak|Katarzyna Wajda|Malgorzata Zajaczkowska|Bartlomiej Blaszczynski|Jerzy Glybin,Maciej Pisuk,110.0,,hip hop|husband wife relationship|wedding|unplanned pregnancy
3740,,,,,
80570,,,,,
7415,,,,,
4298,,,,,
117728,,,,,
547,Ice-T|Rutger Hauer|Charles S. Dutton|Gary Busey|F. Murray Abraham|John C. McGinley|William McNamara|Jeff Corey|Bob Minor|Lawrence C. McCoy|George Fisher|Jacqui Dickerson|Victor Morris|Frederic Collins Jr.|Steven King,Eric Bernt,96.0,"$7,400,000",human prey|most dangerous game|homeless man|survival
122825,,,,,
99525,Christian Slater|Sean Bean|Ving Rhames|Dominic Monaghan|Colm Meaney|Oksana Korostyshevskaya|Charlie Bewley|Ryan Donowho|Freddy Rodríguez|James Cromwell|Gennadi Vengerov|Sarah Ann Schultz|Shawn Parsons|Martina Jagodkina|Romuald Makarenko,Alexandre Coscas,94.0,"$8,000,000",military|what happened to epilogue|bridge|fireworks
91290,Kristin Scott Thomas|Mélusine Mayance|Niels Arestrup|Frédéric Pierrot|Michel Duchaussoy|Dominique Frot|Natasha Mashkevich|Gisèle Casadesus|Aidan Quinn|Sarah Ber|Arben Bajraktaraj|Karina Hin|James Gerard|Joseph Rezwin|Kate Moran,Tatiana De Rosnay,111.0,"EUR10,000,000",apartment|journalist|escape|key
51302,,,,,
104372,,,,,
91564,Jae-Hyun Cho|Dong-jik Jang|Ryun Jang|Sasha Rucavina|Richard Bohringer|Denis Lavant|Laurent Buro,Ki-duk Kim,105.0,,shot in the back|stabbed in the chest|peep show|double cross
31502,,,,,
43482,,,,,
92687,,,,,
101444,Amartscha|Mark Boslough|Christoph Brenneisen|Valentina Bykova|Luca Gasperini|Leonid Alekseyevich Kulik|Wolfgang Kundt|Juri Lawbin|Giuseppe Longo|Benny Peiser|Gottlieb Polzer|Wasilij Wlasow,Christoph Schuch,43.0,,
2374,,,,,
5888,Sergey Bodrov|Viktor Sukhorukov|Svetlana Pismichenko|Mariya Zhukova|Yuriy Kuznetsov|Vyacheslav Butusov|Irina Rakshina|Sergey Murzin|Anatoliy Zhuravlyov|Igor Shibanov|Andrey Fedortsov|Sergey Debizhev|Aleksei Sevostyanov|Rinat Ibragimov|Vladimir Ermilov,Aleksey Balabanov,96.0,,shot to death|drifter|neo noir|1990s
128677,,,,,
26052,,,,,
87639,Lorri Hamm|Sara Laudonia|Adam Meredith|F. David Roth|Candace Thompson|Autumn Brooke Wilkins,Wendy Jo Carlton,,,exquisite corpse|f rated|lesbianism|splitpillow
67138,Aaron Stanford|Peter Anthony Tambakis|Frank Pando|Paul Schneider|Jeffrey Maroun|Judah Friedlander|Clark Middleton|Carlo Alban|Kevin Dunn|Michael Rapaport|Zooey Deschanel|Tracy M. Smith|R.E. Rodgers|Adam LaFramboise|Kim Director,Andy Robin,89.0,,cover up|water|revenge|plumber
122878,Santiago Segura|Julián López|Jesulín de Ubrique|Alec Baldwin|Damián Ramos|Luis Carlos|Álvaro Tortosa|Cañita Brava|José María Rubio|Angy Fernández|Anna Simon|Florentino Fernández|Carlos Areces|Chus Lampreave|Neus Asensi,Santiago Segura,105.0,"EUR8,500,000",sequel
2492,Myles Berkowitz|Elisabeth Wagner|Richard Arlook|Tia Carrere|Robert McKee|Elie Samaha|Tom Ardavany|Emily Arlook|Rachel Arlook|Barbara Cameron|Signy Coleman|Letitia Fox|Greg Kita|Michelle Madden|Stephanie Magid,Myles Berkowitz,87.0,"$60,000",dating|mockumentary|fake documentary|reality show
3461,,,,,
4130,,,,,
113906,,,,,
88315,,,,,
116845,Peter Sarsgaard|Alex Honnold|Yvon Chouinard|Royal Robbins|Lynn Hill|Dean Potter|John Long|Jim Bridwell|Graham Hunt|Ron Kauk,Nick Rosen,103.0,,park ranger|drug|two word title|narration
100083,Dennis Quaid|Greg Kinnear|Common|Charlie Saxton|Will Sasso|Odessa Rae|Seth MacFarlane|Mike Meldman|Hugh Jackman|Kate Winslet|Julie Claire|Katie Finneran|Roy Jenkins|Rocky Russo|Anna Madigan,Steven Brill,94.0,"$6,000,000",female frontal nudity|bare breasts|upskirt|bikini girl
7945,,,,,
6288,Parry Shen|Jason Tobin|Shirley Anderson|Nanette Matoba|Kenji Matoba|Sung Kang|Ashley Arai|Danielle Conner|Karen DiTota|Smita Satiani|Kristen Stinson|Jeff DeJohn|Robert Zepeda|Collin Kahey|Christopher J. Francis,Ernesto Foronda,101.0,"$250,000",teen movie|high school|overachiever|asian american
127230,Marcelo Alejandro Auchelli|Roberto Baggio|Walter Balzarini|Wolfgang Bandorsky|Bruno Bardi|Osvaldo Bayer|Philippe Caillon|Custodio Cuevas|Oliviero Dinelli|León Dogodny|Caterina Dzugala|Titi Fernández|Luigi Ferraro|Arturo Gerez|João Havelange,Lorenzo Garzella,93.0,"EUR1,100,000",
31309,,,,,
3181,Osheen Jones|Dario D'Ambrosi|Anthony Hopkins|Jessica Lange|Raz Degan|Jonathan Rhys Meyers|Matthew Rhys|Harry Lennix|Angus Macfadyen|Kenny Doughty|Blake Ritson|Colin Wells|Ettore Geri|Alan Cumming|James Frain,William Shakespeare,162.0,,title directed by female|year 400|bow the weapon|housefly
74696,Changhua Zhang|Suqin Chen|Qin Zhang|Yang Zhang|Tingsui Tang,Changhua Zhang,85.0,,journey|migrant worker|chinese new year|chinese
99238,Michelle Dockery|Eva Sayer|Josef Lindsay|Dan Stevens|Mark Umbers|Corin Redgrave|Wendy Albiston|Nicola Walker|Sue Johnston|Sarah Buckland|Edward MacLiam|Katie Lightfoot|Nellie Burroughes|Peter Bygott|Honor Cargill-Martin,Henry James,93.0,,psychotronic film|ghost|mansion|governess
101079,Ruth Vega Fernandez|Liv Mjönes|Krister Henriksson|Lena Endre|Joakim Nätterqvist|Josefine Tengblad|Tom Ljungman|Björn Kjellman|Jan Goldring|Anna Nygren,Alexandra-Therese Keining,105.0,,lesbian sex|sexy legs|legs|lesbian romance
48177,,,,,
125605,,,,,
104508,Olivia Molina|Paco León|Alfonso Bassave|Carmen Balagué|Roberto Álvarez|Jesús Castejón|Jordi Martínez|Usun Yoon|Dolo Beltrán|Txabi Franquesa|Neil Harbisson|Stefano Scandaletti|Pablo Castillo|Xavier Álvarez|Roger Castro,Yolanda García Serrano,102.0,,pubic hair|one female two males threesome|love triangle|shower
2590,Kate Winslet|Saïd Taghmaoui|Bella Riza|Carrie Mullan|Pierre Clémenti|Abigail Cruttenden|Ahmed Boulane|Sira Stampe|Amidou|Michelle Fairley|Kevin McKidd|Peter Youngblood Hills|Mohcine Barmouni|Annouar Zrika|Mohamed Cherkaoui,Gillies MacKinnon,98.0,"$12,000,000",female nudity|breasts|girl child|male frontal nudity
31040,,,,,
4205,Cher|Bob Hoskins|Winona Ryder|Michael Schoeffling|Christina Ricci|Caroline McWilliams|Jan Miner|Betsy Townsend|Richard McElvain|Paula Plum|Dossy Peabody|William Paul Steele|Rex Trailer|Pete Kovner|Patricia Madden,Patty Dann,110.0,"$20,000,000",single mother|swimming pool|year 1964|female protagonist
101025,Nicholas Hoult|Eleanor Tomlinson|Ewan McGregor|Stanley Tucci|Eddie Marsan|Ewen Bremner|Ian McShane|Christopher Fairbank|Simon Lowe|Mingus Johnston|Ralph Brown|Joy McBrinn|Chris Brailsford|Warwick Davis|Craig Salisbury,Darren Lemke,114.0,"$195,000,000",no opening credits|fairy tale|character name as title|jack the giant killer character
4715,,,,,
6882,Takeshi Kaneshiro|Anne Suzuki|Kirin Kiki|Gorô Kishitani|Yukiko Okamoto|Mitsu Murata|Kisuke Iida|Kazuya Shimizu|Chiharu Kawai|Dean Harrington|Xiaoqun Zhao|Masaya Takahashi|Kenji Motomiya|Hôshi Ishida|Misako Nagashima,Kenya Hirata,116.0,,hitman|alien|time traveler|time travel
80650,Donald Pleasence|Patrick Catalifo|Jean-François Balmer|Ludmila Mikaël|François Négret|Maxime Leroux|Raoul Billerey|Thé Anh|Christopher Buchholz|Patrick Chauvel|Eric Do|Thu Hà|Igor Hossein|Luc Lavandier|Joseph Momo,Pierre Schoendoerffer,,"FRF1,400,000",parachute drop|siege|transport aircraft|dien bien phu
97855,Eric Roberts|Esteban Powell|C. Thomas Howell|Farrah Forke|Damian Chapa|Lindsay Taylor|Eric Poppick|Michael D. Roberts|Brent Huff|Robert Miano|Paul Parducci|Lou Casal|Zeus Mendoza|Cole S. McKay|Justin Lundin,Eric Barker,,,mob|computer|disk|witness protection program
69908,,,,,
128530,,,,,
121581,Francisco Arruda|Bagu|Nelson Camargo|Neville de Almeida|Márcio de Pinho|Téo Feltrini Neto|Marcelo França|Paulo Gracindo|Breno Kuperman|Milon Lanna|Fábio Magalhães|Eduardo Mamede|Vicente Mutarelli|Cláudio Sganzerla|Nelson Xavier,Andrea Tonacci,26.0,,
116941,,,,,
2162,Jonathan Brandis|Kenny Morrison|Clarissa Burt|John Wesley Shipp|Martin Umbach|Alexandra Johnes|Thomas Hill|Helena Michell|Christopher Burton|Patricia Fugger|Birge Schade|Claudio Maniscalco|Andreas Borcherding|Ralf Weikinger|Colin Gilder,Karin Howard,90.0,"$36,000,000",travel|swimming pool|fear of heights|book store
105439,Etsushi Toyokawa|Chizuru Ikewaki|Kôji Kikkawa|Tsumami Edamame|Tenkyû Fukuda|Mitsutoshi Gotô|Yûdai Ishiyama|Hana Kino|Ittoku Kishibe|Tôru Kizu|Fumiyo Kohinata|Ken Maeda|Jun Murakami|Seminosuke Murasugi|Megumi Seki,Hideyuki Hirayama,,,assassination plot|death of wife|devotion|jidai geki
95153,Aya Hisakawa|Stacie Lynn Renna,Stacie Lynn Renna,151.0,,ova|rescue|bound and gagged|outer space
72276,,,,,
4916,,,,,
7282,Eminem|Ja Rule|Pras Michel|Vanilla Ice|Rah Digga|Mobb Deep|Charli Baltimore|Dale Resteghini|Spliff Starr|Stacii Jae Johnson|Vitamin C|Mia Tyler|Amy Dorris|Benzino|Jonathan Martin,Dale Resteghini,90.0,,hip hop|white rapper|telephone call|breaking the fourth wall
65288,,,,,
1073,,,,,
4257,Claire Keim|Agathe de La Boulaye|Cyril Lecomte|Sandra Nkake|Ronald Guttman|Cyrille Hertel|Pascal Cervo|Franck Prévost|Fadila Belkebla|Sylvie Bataillard|Hélène Juren|Zizek Belkebla|Raphaël Beauville|Stéphane Germain,Monique Wittig,84.0,,singer|love|artist|painter
72096,Andrzej Chyra|Malgorzata Kozuchowska|Kinga Preis|Grzegorz Wojdon|Jan Frycz|Marian Opania|Mieczyslaw Grabka|Dariusz Kowalski|Krzysztof Dracz|Slawomir Orzechowski|Marian Dziedziel|Malgorzata Zabkowska|Juliusz Krzysztof Warunek|Pawel Iwanicki|Cezary Lukaszewicz,Grzegorz Loszewski,,,debt
59421,Cameron Diaz|Ashton Kutcher|Rob Corddry|Lake Bell|Jason Sudeikis|Treat Williams|Deirdre O'Connell|Michelle Krusiec|Dennis Farina|Zach Galifianakis|Queen Latifah|Krysten Ritter|Ricky Garcia|Andrew Daly|Benita Robledo,Dana Fox,99.0,"$35,000,000",jackpot|wedding|drunkenness|hit in the crotch
4650,,,,,
103875,Antonia Juhasz|Larry Everest|Robert Gould|Michael Veiluva|Mitchell Plitnick|Jim Haber|Majid Baradar|David Glick|Shahab|Sahar Driver,Aaron Newman,,"$2,000",
3374,Cora Lee Day|Alva Rogers|Barbarao|Trula Hoosier|Umar Abdurrahamn|Adisa Anderson|Kaycee Moore|Bahni Turpin|Cheryl Lynn Bruce|Tommy Redmond Hicks|Tony King|Cornell Royal|Vertamae Grosvenor|Sherry Jackson|Ervin Green,Julie Dash,,,triple f rated|title directed by female|feminist film|written by director
73488,Ji-Hyun Jun|Allison Miller|Liam Cunningham|JJ Feild|Koyuki|Yasuaki Kurata|Larry Lamb|Andrew Pleavin|Michael Byrne|Colin Salmon|Masiela Lusha|Ailish O'Connor|Constantine Gregory|Joey Anaya|Khary Payton,Chris Chow,91.0,"$30,000,000",live action remake of anime|bladed weapon|supernatural power|psychotronic film
5513,Martin Lawrence|Nancy O'Dell|Paul Keeley|Art Cohan|Renato Powell|Mikki Padilla|Christopher Halsted|Dayna Devon|Kris Carraway-Bowman|Kevin Carter,Martin Lawrence,113.0,"$3,000,000",stand up|four word title|colon in title|actor name in title
95199,Cameron Diaz|Jennifer Lopez|Elizabeth Banks|Chace Crawford|Brooklyn Decker|Ben Falcone|Anna Kendrick|Matthew Morrison|Dennis Quaid|Chris Rock|Rodrigo Santoro|Joe Manganiello|Rob Huebel|Thomas Lennon|Amir Talai,Shauna Cross,110.0,"$40,000,000",pregnancy|photographer|baby|expecting twins
5833,Sean Pertwee|Kevin McKidd|Emma Cleasby|Liam Cunningham|Thomas Lockyer|Darren Morfitt|Chris Robson|Leslie Simpson|Tina Landini|Craig Conway|Villrikke's Acer|Bryn Walters|Ben Wright|Brian Claxton Payne,Neil Marshall,105.0,"$2,000,000",exploitation|scotland|training mission|full moon
847,Lara Flynn Boyle|Danny Nucci|Peter Dobson|Luca Bercovici|Michael Chieffo|Bert Santos|Teresa DiSpina|Sam Vlahos|Valente Rodriguez|Raye Birk|Angelina Estrada|Janet MacLachlan|Tony Genaro|Marita De Leon|Laura Cerón,Marcus DeLeon,98.0,,grifter|female nudity
74255,,,,,
70958,Gérard Jugnot|Clovis Cornillac|Kad Merad|Nora Arnezeder|Pierre Richard|Bernard-Pierre Donnadieu|Maxence Perrin|François Morel|Élisabeth Vitali|Christophe Kourotchkine|Éric Naggar|Eric Prat|Julien Courbey|Philippe du Janerand|Marc Citti,Christophe Barratier,120.0,,looking at oneself in a mirror|murder|music hall|faubourg
687,Sam Neill|Greta Scacchi|John Hargreaves|Kerry Fox|Michael Blakemore|Googie Withers|Patricia Kennedy|Ron Blanchard|Robyn Cruze|Maurie Fields|Bryan Marshall|Tony Barry|Terry Brady|Tom Long|Rob Steele,Michael Blakemore,118.0,,australia|cat|based on novel
8266,,,,,
75406,Birdman|Cortez Bryant|Reginae Carter|Drake|Blast Famous|Nicki Minaj|Lil Twist|Lil' Wayne,Adam Bhala Lough,72.0,,rapper|hip hop|celebrity
7005,John Goodman|Peter O'Toole|John Hurt|Camille Coduri|Richard Griffiths|Leslie Phillips|James Villiers|Joely Richardson|Niall O'Brien|Julian Glover|Judy Parfitt|Ed Stobart|Gedren Heller|Rudolph Walker|Michael Johnson,Emlyn Williams,97.0,,king|heir|buckingham palace|wrong side of the tracks
107643,Saber Abar|Mehdi Hosseinina|Parinaz Izadyar|Negar Javaherian|Atieh Javid|Fatemah Motamed-Aria|Vahid Nafar|Parsa Pirouzfar|Ahmad Sa'atchian,Bahram Tavakoli,100.0,,interpretation|adaptation|play|problem
82857,,Ilisa Barbash,101.0,,mountain|shepherd|sheep|snow
5621,Jackie Chan|Jennifer Love Hewitt|Jason Isaacs|Debi Mazar|Ritchie Coster|Peter Stormare|Mia Cottet|Romany Malco|Daniel Kash|Jody Racicot|Boyd Banks|Scott Wickware|Christian Potenza|Karen Glave|Scott Yaphe,Phil Hay,98.0,"$60,000,000",tuxedo|chauffeur|hospital|secret agent
58411,Mark Webber|Daniel Ross Owens|Glen Powell|Anne Clarke|Cherami Leigh|Catalina Sandino Moreno|Josh Zuckerman|Michelle Williams|Jesse Harris|Bill Dobrow|Jon Fowler|Guyora Kats|Nick McDonnel|Alexandra Daddario|Ethan Hawke,Ethan Hawke,117.0,,texas|actor|written and directed by cast member|gift
111749,,,,,
117133,Donnie Yen|Xun Zhou|Kun Chen|Wei Zhao|Li Sun|Yuwu Qi|Song Jin|David Leong|Cong Xiao|Yan Liu|Yeerjiang Mahepushen|Michael An-Ye Tan|Yun-Peng Qi|Yang Wen|Chang-Zhou Zhao,Andy Wing-Keung Chin,103.0,"$10,000,000",demon|based on novel|adaptation|qin dynasty
5539,,,,,
1406,Isabelle Huppert|Sandrine Bonnaire|Jean-Pierre Cassel|Jacqueline Bisset|Virginie Ledoyen|Valentin Merlet|Julien Rochefort|Dominique Frot|Jean-François Perrier|Ludovic Brillant|Claire Chiron|Claire-Marie Dentraygues|Jean-Pierre Descheix|Penny Fairclough|Alain Françoise,Ruth Rendell,112.0,,family massacre|miniskirt|provincial life|rich couple
5648,Jim Varney|Hayley Tyson|David Müller|Christo Davids|Jeffrey Pillars|Duke Ernsberger|Ivan D. Lucas|John R. Cherry III|Peter Butler|Farouk Valley-Omar|Josh Cherry|Amanda Wilson|Tony Hawes|Gavin Barfield|David Trengrove,Jeffrey Pillars,85.0,,ernest p. worrell character|army|sequel|ninth part
